Posicoes do VANT [X Y Z qX qY qZ qW]

[
 5.85468e-321 0 6.91852e-310 -nan -nan -nan -nan;
 -2.01393 2.03239 8.04091 0.0009905 0.0174792 0.999847 -6.86151e-05;
 -2.01393 2.03239 8.04091 0.0009905 0.0174792 0.999847 -6.86151e-05;
 -2.01342 2.03094 8.04043 0.00102633 0.0174102 0.999848 -2.10734e-06;
 -2.01503 2.02903 7.99689 0.00206088 0.0449581 0.998987 -4.51814e-05;
 -2.01402 2.02709 7.94995 0.0419427 0.108388 0.993207 -0.00580257;
 -1.99374 2.01395 7.874 0.158534 0.224528 0.961121 -0.0264887;
 -1.29678 1.40385 7.57999 -0.168226 -0.199 0.962907 -0.0700706;
 -1.29678 1.40385 7.57999 -0.168226 -0.199 0.962907 -0.0700706;
 -1.22529 1.33923 7.5836 -0.177186 -0.210891 0.958192 -0.0774447;
 -1.18896 1.30945 7.55409 -0.121527 -0.127649 0.980388 -0.0881877;
 -1.17114 1.29431 7.49697 -0.0917614 -0.0906709 0.98725 -0.0932576;
 -1.16011 1.28839 7.40764 -0.107506 -0.0969822 0.984394 -0.100028;
 -1.16697 1.30268 7.31004 -0.135523 -0.120739 0.977868 -0.104069;
 -1.19669 1.34465 7.20393 -0.147931 -0.128644 0.974826 -0.106211;
 -1.22544 1.38379 7.13779 -0.130898 -0.105113 0.979873 -0.108009;
 -1.27642 1.4532 7.03723 -0.0726786 -0.0242126 0.990766 -0.111864;
 -1.32391 1.52397 6.93964 -0.0281115 0.0591216 0.991398 -0.113337;
 -1.34769 1.57004 6.87656 -0.0449025 0.0698869 0.990319 -0.111209;
 -1.37358 1.6453 6.77168 -0.0761577 0.0541461 0.989595 -0.109404;
 -0.986331 1.72555 6.39532 -0.0676345 -0.201807 0.963045 -0.165059;
 -0.986331 1.72555 6.39532 -0.0676345 -0.201807 0.963045 -0.165059;
 -0.966823 1.72204 6.39606 -0.0653999 -0.200111 0.963942 -0.162773;
 -0.951288 1.72492 6.37109 -0.0309463 -0.105536 0.980468 -0.163053;
 -0.941132 1.72988 6.28733 0.0658143 0.0274009 0.983796 -0.164506;
 -0.988699 1.37387 6.0174 -0.130869 0.0785462 0.968182 -0.198311;
 -0.988699 1.37387 6.0174 -0.130869 0.0785462 0.968182 -0.198311;
 -0.875417 0.892981 5.75575 -0.137555 -0.095708 0.952382 -0.254728;
 -0.875417 0.892981 5.75575 -0.137555 -0.095708 0.952382 -0.254728;
 -0.872921 0.866672 5.74596 -0.0857318 -0.0573532 0.960293 -0.259224;
 -0.873238 0.855806 5.72407 -0.025821 -0.00375979 0.964477 -0.262875;
 -0.45239 0.994089 5.41517 0.150755 -0.12939 0.958153 -0.206091;
 -0.45239 0.994089 5.41517 0.150755 -0.12939 0.958153 -0.206091;
 -0.279981 0.896909 5.2004 -0.00941459 -0.101215 0.973697 -0.203914;
 -0.279981 0.896909 5.2004 -0.00941459 -0.101215 0.973697 -0.203914;
 -0.261544 0.881335 5.19063 -0.00909597 -0.0804107 0.975714 -0.203552;
 -0.254384 0.870473 5.16112 -0.0033415 -0.0426878 0.978105 -0.203661;
 0.0677865 0.653412 4.85687 -0.03711 -0.14616 0.967011 -0.205305;
 0.0677865 0.653412 4.85687 -0.03711 -0.14616 0.967011 -0.205305;
 0.091011 0.635814 4.84561 -0.023048 -0.0907508 0.973893 -0.206797;
 0.101402 0.623416 4.80661 0.00230704 0.011719 0.978059 -0.207986;
 0.107962 0.616351 4.74381 0.0107438 0.0991578 0.973467 -0.205945;
 0.455444 0.594093 4.3705 0.0503536 -0.0554535 0.980828 -0.179904;
 0.455444 0.594093 4.3705 0.0503536 -0.0554535 0.980828 -0.179904;
 0.482593 0.58762 4.35189 0.0403608 -0.0370604 0.982133 -0.180035;
 0.510383 0.578156 4.30362 0.0213431 0.011951 0.983477 -0.179374;
 0.84944 0.313221 3.88308 -0.0571345 -0.0416694 0.977501 -0.198725;
 0.84944 0.313221 3.88308 -0.0571345 -0.0416694 0.977501 -0.198725;
 0.870552 0.307477 3.8647 -0.00805101 0.0122901 0.979458 -0.201113;
 1.06367 0.296453 3.57125 -0.0275868 0.0172184 0.980249 -0.195076;
 1.17254 0.325713 3.51541 0.0947125 -0.0846146 0.973074 -0.192347;
 1.17254 0.325713 3.51541 0.0947125 -0.0846146 0.973074 -0.192347;
 1.19885 0.324128 3.46592 0.0637975 -0.0614602 0.977122 -0.19335;
 1.20473 0.317935 3.4425 0.0351487 -0.0175193 0.980598 -0.192054;
 1.20913 0.313192 3.38426 -0.0235221 0.0699553 0.979757 -0.186087;
 1.35181 0.290312 3.05135 0.0524796 0.083661 0.978032 -0.183578;
 1.35181 0.290312 3.05135 0.0524796 0.083661 0.978032 -0.183578;
 1.3998 0.273007 2.99916 0.0415679 0.0509383 0.980885 -0.183143;
 1.46436 0.239698 2.96425 0.0118872 0.00901761 0.983031 -0.182831;
 1.52406 0.209208 2.88055 -0.0138101 0.0391158 0.982536 -0.181387;
 1.5633 0.190941 2.82161 -0.0452138 0.118886 0.976012 -0.176697;
 1.63526 0.169262 2.72296 -0.0526266 0.199957 0.963559 -0.169708;
 1.70266 0.15819 2.64471 -0.0105253 0.17496 0.969873 -0.16919;
 1.77349 0.142861 2.57281 0.0166494 0.11777 0.978391 -0.169126;
 1.80889 0.135682 2.53669 0.0206635 0.081438 0.982114 -0.168502;
 1.88472 0.120796 2.45546 0.00877852 0.0299953 0.9854 -0.167363;
 1.98461 0.0980297 2.34386 -0.0441665 0.0122342 0.985121 -0.16564;
 2.03256 0.0916426 2.28583 -0.0660856 0.0448312 0.983073 -0.164892;
 2.12446 0.089173 2.17358 -0.0797201 0.102419 0.978031 -0.163129;
 2.18747 0.0920623 2.10215 -0.065864 0.0918383 0.980354 -0.161659;
 2.28803 0.10798 1.98712 -0.0363558 0.0174781 0.986396 -0.159362;
 2.3466 0.115815 1.91537 -0.0266983 -0.0251441 0.986689 -0.158432;
 2.39563 0.128004 1.84384 -0.0268346 -0.0516354 0.985663 -0.158373;
 2.45824 0.151637 1.72664 -0.0344889 -0.0512662 0.985259 -0.159518;
 2.50224 0.177343 1.61842 -0.0437671 -0.0209352 0.985723 -0.161234;
 2.54029 0.210849 1.50259 -0.0462704 -6.64076e-06 0.985603 -0.162621;
 2.56438 0.234882 1.42423 -0.0386239 -0.0196203 0.985715 -0.162756;
 2.57999 0.260237 1.35526 -0.0288102 -0.0470905 0.985211 -0.16221;
 2.59388 0.29844 1.241 -0.018182 -0.0862061 0.982908 -0.161648;
 2.59195 0.320725 1.17914 -0.0164049 -0.0947866 0.982112 -0.161871;
 2.57304 0.362966 1.06344 -0.0151425 -0.0760289 0.983582 -0.162965;
 2.54508 0.398895 0.956288 -0.00538086 -0.03827 0.985713 -0.163937;
 2.51903 0.427106 0.877276 0.00527287 -0.0162418 0.986236 -0.16446;
]
