Posicoes do VANT [X Y Z qX qY qZ qW]

[
 1.61895e-319 6.90241e-310 2.71736e-322 -nan -nan -nan -nan;
 1.90598 1.8584 7.96747 -0.0099633 0.0190787 0.999768 0.000337976;
 1.90598 1.8584 7.96747 -0.0099633 0.0190787 0.999768 0.000337976;
 1.90622 1.85673 7.96633 -0.00712931 0.0163098 0.999841 0.000577328;
 1.90541 1.85522 7.97269 0.0449302 -0.0352891 0.998321 0.00958959;
 1.89396 1.84334 7.98436 0.0967582 -0.0860831 0.991249 0.0255658;
 1.88001 1.82849 7.98406 0.102889 -0.0905588 0.990176 0.0276422;
 1.84343 1.79026 7.97952 0.0765377 -0.0623935 0.994778 0.0258209;
 1.81224 1.75624 7.97767 0.0526183 -0.0384028 0.997579 0.0243295;
 1.76846 1.70861 7.97497 0.0341013 -0.0235113 0.998879 0.0229265;
 1.73842 1.67562 7.97868 0.0415856 -0.0811915 0.995558 0.0233051;
 1.69595 1.63367 8.00379 0.0964802 -0.137924 0.985216 0.0319122;
 1.67334 1.61322 8.01465 0.127322 -0.194405 0.971891 0.0377265;
 1.56265 1.51073 8.0251 0.179308 -0.171543 0.966837 0.0603987;
 1.48119 1.42615 8.04288 0.197742 -0.204603 0.956528 0.0639565;
 1.35438 1.29136 8.05863 0.175067 -0.133972 0.971805 0.0836588;
 1.26481 1.19115 8.07216 0.0623757 -0.0633959 0.992462 0.0843168;
 1.11995 1.03299 8.10035 0.0755449 -0.153856 0.98208 0.0783545;
 0.964679 0.872582 8.10299 0.137519 -0.120869 0.97791 0.100851;
 0.864345 0.768721 8.11395 0.0611621 -0.132928 0.984479 0.0969;
 0.708872 0.610184 8.13546 0.152164 -0.198242 0.962979 0.101084;
 0.584744 0.485172 8.13825 0.184454 -0.230422 0.949288 0.108325;
 0.403368 0.299838 8.13438 0.143126 -0.152436 0.970256 0.121987;
 0.262466 0.150209 8.13199 0.102688 -0.154969 0.975972 0.113658;
 0.0647184 -0.0528905 8.15144 0.159965 -0.226073 0.952703 0.125134;
 -0.0757004 -0.198066 8.16146 0.148283 -0.148347 0.966865 0.145522;
 -0.304025 -0.43783 8.16257 -0.0761536 -0.0786506 0.981765 0.155409;
 -0.458416 -0.596642 8.12061 -0.21464 -0.102386 0.956712 0.167776;
