Posicoes do VANT [X Y Z qX qY qZ qW]

[
 5.85468e-321 0 6.92688e-310 -nan -nan -nan -nan;
 2.00604 2.15336 7.97537 -0.00424161 0.0153822 0.999873 6.21666e-05;
 2.00604 2.15336 7.97537 -0.00424161 0.0153822 0.999873 6.21666e-05;
 2.00712 2.15371 7.97443 -0.00395109 0.0153415 0.999874 0.00012585;
 2.00811 2.15408 7.97579 0.013041 -0.00708284 0.999888 0.00184481;
 2.00379 2.15018 7.98609 0.0639829 -0.071699 0.9953 0.0119573;
 1.98557 2.13472 7.98836 0.0722929 -0.0784108 0.994191 0.0145;
 1.95554 2.10946 7.98758 0.054659 -0.0571825 0.996771 0.0138201;
 1.91638 2.07593 7.98737 0.0366074 -0.0351119 0.998627 0.0130878;
 1.87565 2.0402 7.98511 0.0268529 -0.0209001 0.999338 0.0128811;
 1.83786 2.00608 7.98228 0.0231849 -0.0180121 0.999485 0.01292;
 1.79984 1.97112 7.97893 0.0226798 -0.0196096 0.999464 0.0131746;
 1.75766 1.93237 7.9745 0.0228973 -0.0191066 0.999469 0.013119;
 1.71449 1.89295 7.97067 0.0233107 -0.0187822 0.999468 0.0129742;
 1.67443 1.85618 7.96669 0.023372 -0.0193679 0.999458 0.0127233;
 1.63056 1.81542 7.96262 0.0231442 -0.0187007 0.999482 0.0122618;
 1.58982 1.77733 7.95839 0.0224161 -0.0183087 0.999508 0.0120889;
 1.54532 1.73517 7.95433 0.0218463 -0.0187949 0.999512 0.0120174;
 1.50437 1.69611 7.95072 0.0213318 -0.0189086 0.999522 0.0119286;
 1.46325 1.65672 7.94758 0.0214076 -0.0187946 0.999524 0.0118488;
 1.41832 1.61351 7.94531 0.0214719 -0.0190602 0.999517 0.0119024;
 1.37644 1.57337 7.94386 0.0214145 -0.0190264 0.999518 0.0119268;
 1.33093 1.53004 7.94204 0.0216547 -0.0190464 0.999513 0.011878;
 1.28897 1.49019 7.94064 0.0213757 -0.0192261 0.999518 0.0116968;
 1.24392 1.44737 7.94 0.0212737 -0.0188757 0.999529 0.0115417;
 1.19906 1.4047 7.94025 0.0212408 -0.0182577 0.99954 0.0116061;
 1.15757 1.36538 7.94037 0.0211999 -0.0183164 0.999541 0.0115079;
 1.11591 1.32589 7.93945 0.0208739 -0.0187581 0.999539 0.0115527;
 1.07069 1.28334 7.93819 0.0208324 -0.0188874 0.99954 0.0113363;
