Posicoes do VANT [X Y Z qX qY qZ qW]

[
 5.85468e-321 0 6.93773e-310 -nan -nan -nan -nan;
 1.92934 2.01592 7.8932 -0.00307405 0.0142642 0.999894 2.27593e-06;
 1.92934 2.01592 7.8932 -0.00307405 0.0142642 0.999894 2.27593e-06;
 1.92894 2.01474 7.89049 -0.00325744 0.0140309 0.999896 1.89661e-05;
 1.92998 2.01334 7.88357 -0.00313615 0.0112201 0.999932 4.58136e-05;
 1.92736 2.01097 7.82095 0.00243067 -0.0324678 0.999469 0.000991294;
 1.45301 1.59078 7.39508 -0.100489 0.140162 0.983991 0.0449335;
 1.45301 1.59078 7.39508 -0.100489 0.140162 0.983991 0.0449335;
 1.4478 1.57789 7.37813 -0.0431962 0.0670193 0.995755 0.0459784;
 1.44569 1.5695 7.3614 -0.00253078 -0.000152939 0.998938 0.0460056;
 1.4423 1.56068 7.29235 0.042282 -0.0895485 0.993956 0.0473776;
 1.42205 1.54552 7.19059 0.0425849 -0.0973974 0.99303 0.0509097;
 1.36606 1.50591 6.81722 0.0523572 -0.0243524 0.996448 0.0612986;
 1.36606 1.50591 6.81722 0.0523572 -0.0243524 0.996448 0.0612986;
 1.36574 1.49304 6.74035 0.0574751 -0.0698315 0.993657 0.0668294;
 1.2565 1.32981 6.44172 -0.0401323 0.0123921 0.996963 0.0655838;
 1.2565 1.32981 6.44172 -0.0401323 0.0123921 0.996963 0.0655838;
 1.24742 1.30164 6.42785 -0.0677348 0.0289227 0.995199 0.0644488;
 1.24046 1.29178 6.40043 -0.0502856 0.0278395 0.996373 0.0627544;
 1.23432 1.28534 6.33091 -0.00848993 -0.0245588 0.997578 0.0645156;
 1.21671 1.27081 6.23208 0.0974716 -0.11021 0.986467 0.072361;
 0.902917 1.08188 5.79766 -0.0105454 0.0697403 0.995409 0.0646965;
 0.902917 1.08188 5.79766 -0.0105454 0.0697403 0.995409 0.0646965;
 0.884601 1.07567 5.78278 -0.0118156 0.0521727 0.996574 0.0630713;
 0.8771 1.07076 5.76483 -0.0109791 0.0197307 0.997865 0.0612769;
 0.861018 1.06809 5.69014 0.000942613 -0.0410004 0.997348 0.0601279;
 0.84165 1.06158 5.58943 0.0472757 -0.0764944 0.994137 0.0600475;
 0.806158 1.04783 5.48435 0.0582486 -0.0490125 0.9953 0.0598637;
 0.693916 0.9405 5.08222 0.0166797 -0.0439061 0.997447 0.053798;
 0.693916 0.9405 5.08222 0.0166797 -0.0439061 0.997447 0.053798;
 0.659675 0.909594 5.05428 -0.00124917 -0.0226203 0.998399 0.0518214;
 0.530773 0.82855 4.78258 0.0615053 -0.0338241 0.99584 0.058101;
 0.530773 0.82855 4.78258 0.0615053 -0.0338241 0.99584 0.058101;
 0.49264 0.795417 4.73391 0.0357075 -0.0239926 0.997302 0.0594742;
 0.456503 0.757201 4.73139 -0.0316721 0.0256565 0.997335 0.0605141;
 0.420261 0.726674 4.6579 -0.0951636 0.0512884 0.99215 0.062863;
 0.393087 0.70809 4.5542 -0.0784484 0.0326783 0.99417 0.0663609;
 0.367228 0.703553 4.44242 -0.0219473 0.00547933 0.997463 0.0675012;
 0.345768 0.700411 4.34447 0.0593117 -0.0262526 0.99554 0.0685001;
 0.315881 0.685127 4.23574 0.0925186 -0.0323563 0.992784 0.069085;
 0.286438 0.65536 4.13417 0.067981 -0.0176925 0.995089 0.0697385;
 0.254049 0.619272 4.02799 -0.0258798 0.0135302 0.997014 0.0714904;
 0.227104 0.590956 3.92126 -0.0932883 0.0346654 0.992434 0.0719002;
 0.20754 0.584953 3.82052 -0.0840846 0.0293454 0.993458 0.0714824;
 0.191125 0.589807 3.71803 0.0333481 -0.0139595 0.996629 0.0736401;
 0.172414 0.585425 3.61872 0.0989806 -0.0412361 0.99136 0.07555;
 0.149718 0.564209 3.51641 0.075599 -0.0328589 0.993636 0.0767577;
 0.120655 0.53417 3.40788 -0.0120737 0.00507765 0.996807 0.0787608;
 0.0733086 0.521284 3.09322 -0.0404066 0.0346551 0.995482 0.0786263;
 0.0733086 0.521284 3.09322 -0.0404066 0.0346551 0.995482 0.0786263;
 0.068946 0.538318 3.00035 0.0145247 0.00429513 0.996851 0.0778381;
 0.0656659 0.547182 2.97419 0.0228951 -0.00720084 0.996784 0.076462;
 0.0575307 0.553048 2.89919 0.0523313 -0.0197033 0.995599 0.0752023;
 0.0469225 0.549589 2.7874 0.042976 -0.009718 0.996212 0.0749644;
 0.0333832 0.541607 2.69118 -0.0279693 0.0314154 0.996146 0.0769679;
 0.0249605 0.536372 2.58389 -0.0491038 0.0603307 0.994002 0.0768677;
 0.0245814 0.540253 2.48282 0.00581485 0.0473791 0.996054 0.0748177;
 0.0307472 0.540905 2.38121 0.0573219 0.0131584 0.995596 0.0729993;
