Posicoes do VANT [X Y Z qX qY qZ qW]

[
 5.85468e-321 0 6.93446e-310 -nan -nan -nan -nan;
 1.9315 2.07968 8.02926 0.00257461 0.0185256 0.999825 -3.49819e-06;
 1.9315 2.07968 8.02926 0.00257461 0.0185256 0.999825 -3.49819e-06;
 1.93142 2.07954 8.02944 0.00256276 0.0184709 0.999826 9.36503e-05;
 1.93154 2.07843 8.03329 0.0183171 0.00259838 0.999829 0.00050062;
 1.92772 2.07262 8.04445 0.0632608 -0.0558821 0.996428 0.00273318;
 1.91237 2.05809 8.04958 0.078026 -0.0860335 0.993222 0.00442361;
 1.66856 1.8449 8.07168 -0.0361537 0.0590879 0.997446 0.0173828;
 1.66856 1.8449 8.07168 -0.0361537 0.0590879 0.997446 0.0173828;
 1.66354 1.83861 8.07539 -0.0162027 0.0325264 0.999182 0.0177686;
 1.66074 1.83466 8.08361 0.0163542 -0.00367505 0.999691 0.0183805;
 1.65381 1.82888 8.09376 0.0643757 -0.0573484 0.99607 0.0202654;
 1.63359 1.81261 8.09875 0.0677242 -0.0807185 0.9942 0.0215575;
 1.45375 1.67268 8.12635 -0.0236695 0.0456748 0.998201 0.0308095;
 1.45375 1.67268 8.12635 -0.0236695 0.0456748 0.998201 0.0308095;
 1.43734 1.65652 8.12983 -0.0378445 0.0587279 0.997048 0.0318364;
 1.41947 1.64126 8.13584 -0.0308753 0.0536533 0.997557 0.0323595;
 1.41009 1.63152 8.14761 0.0364835 -0.0115709 0.998673 0.0344702;
 1.39414 1.61509 8.15713 0.0809258 -0.0706994 0.99353 0.0367598;
 1.36482 1.58464 8.16273 0.0772802 -0.081147 0.992993 0.0375257;
 1.32254 1.54507 8.16747 0.0379826 -0.0505951 0.997287 0.037624;
 1.18952 1.42573 8.19342 0.0443699 -0.022115 0.998011 0.0389318;
 1.18952 1.42573 8.19342 0.0443699 -0.022115 0.998011 0.0389318;
 1.15897 1.39232 8.20465 -0.000720463 0.00447922 0.999101 0.0421573;
 1.12906 1.36254 8.21334 -0.0247747 0.0355117 0.998074 0.0444228;
 1.10719 1.34034 8.22366 0.0215503 0.00318937 0.99868 0.0465157;
 1.08414 1.31657 8.23095 0.0602629 -0.0439997 0.996056 0.0480157;
 1.05219 1.28211 8.23713 0.0612416 -0.0591624 0.995198 0.0482787;
 1.00954 1.24023 8.24225 0.0493851 -0.0476718 0.996489 0.0479415;
 0.96569 1.19722 8.24654 0.0350179 -0.026399 0.997922 0.0472004;
 0.918177 1.15257 8.25019 0.0125989 -0.0107264 0.998799 0.0461274;
 0.875557 1.11303 8.25269 0.00768704 -0.00649316 0.998938 0.0449582;
 0.831209 1.07415 8.25629 0.0286434 -0.0126567 0.998549 0.0437992;
 0.790805 1.03641 8.2595 0.0436402 -0.0205609 0.997916 0.0428523;
 0.790805 1.03641 8.2595 0.0436402 -0.0205609 0.997916 0.0428523;
 0.790805 1.03641 8.2595 0.0436402 -0.0205609 0.997916 0.0428523;
]
