Posicoes do VANT [X Y Z qX qY qZ qW]

[
 5.85468e-321 0 6.91047e-310 -nan -nan -nan -nan;
 1.96054 1.97521 7.96174 -0.00110074 -0.000244919 0.999999 2.73533e-05;
 1.96054 1.97521 7.96174 -0.00110074 -0.000244919 0.999999 2.73533e-05;
 1.9595 1.97486 7.96156 -0.000683492 4.85871e-05 1 4.29898e-06;
 1.95596 1.97249 7.96396 0.0293012 -0.02512 0.999254 0.00163007;
 1.94929 1.96579 7.96453 0.0763316 -0.079309 0.993911 0.00492355;
 1.92754 1.94566 7.95838 0.0856915 -0.101355 0.991129 0.00688578;
 1.68054 1.72782 7.92871 -0.0480536 0.0553922 0.997251 0.010648;
 1.68054 1.72782 7.92871 -0.0480536 0.0553922 0.997251 0.010648;
 1.6657 1.71489 7.92441 -0.0305386 0.0378399 0.998758 0.0108596;
 1.65444 1.70601 7.92628 0.0195699 -0.0146551 0.999621 0.0126618;
 1.64404 1.69617 7.92987 0.075033 -0.0845253 0.993464 0.0159334;
 1.61616 1.67295 7.92738 0.0832185 -0.105771 0.990751 0.0172873;
 1.57772 1.6407 7.92278 0.0499962 -0.0820255 0.995232 0.0168681;
 1.401 1.51174 7.91099 0.0243138 -0.0119969 0.99948 0.0174366;
 1.401 1.51174 7.91099 0.0243138 -0.0119969 0.99948 0.0174366;
 1.36619 1.48214 7.90926 -0.0201094 0.0241749 0.999313 0.0196267;
 1.33513 1.45839 7.9096 -0.0119835 0.0223257 0.999444 0.0216882;
 1.31025 1.43714 7.91174 0.0429679 -0.0370845 0.998083 0.0246944;
 1.28016 1.4102 7.90925 0.0678806 -0.0780988 0.99428 0.0264741;
 1.23958 1.37269 7.90526 0.063019 -0.0802951 0.994413 0.0269035;
 1.08868 1.24793 7.89564 0.0100715 -0.0179266 0.999483 0.024697;
 1.08868 1.24793 7.89564 0.0100715 -0.0179266 0.999483 0.024697;
 1.04078 1.20952 7.89565 -0.00266437 0.00019514 0.999685 0.0249616;
 0.998773 1.17727 7.8986 0.00141394 0.00770993 0.999615 0.0266326;
 0.960862 1.14575 7.89875 0.0392604 -0.0274846 0.998442 0.0285887;
 0.922212 1.11238 7.89616 0.0577178 -0.0586151 0.996175 0.0294716;
 0.876691 1.07004 7.89173 0.0517854 -0.0640612 0.996178 0.0290646;
 0.822348 1.02227 7.8854 0.0344262 -0.0502633 0.997744 0.0281908;
