Posicoes do VANT [X Y Z qX qY qZ qW]

[
 5.85468e-321 0 6.94949e-310 -nan -nan -nan -nan;
 -2.01313 2.07976 8.06007 -0.0102757 0.01458 0.999834 -0.00369514;
 -2.01313 2.07976 8.06007 -0.0102757 0.01458 0.999834 -0.00369514;
 -2.01418 2.08001 8.05759 -0.0106452 0.0169892 0.999773 -0.00727492;
 -2.0158 2.07858 8.00621 -0.00651452 0.0583412 0.998199 -0.0123792;
 -2.0131 2.07534 7.96062 0.0464828 0.12739 0.990491 -0.023189;
 -1.97009 2.04473 7.86122 0.19474 0.268396 0.941691 -0.0570766;
 -1.34085 1.3788 7.56894 -0.193083 -0.167652 0.962043 -0.0953162;
 -1.34085 1.3788 7.56894 -0.193083 -0.167652 0.962043 -0.0953162;
 -1.28962 1.32009 7.5629 -0.202655 -0.166547 0.95963 -0.101503;
 -1.24512 1.27096 7.49277 -0.177599 -0.0986006 0.97191 -0.118856;
 -1.21562 1.24803 7.4171 -0.0194623 0.0303742 0.988926 -0.143956;
 -1.18177 1.22381 7.32634 0.11924 0.109063 0.973292 -0.163064;
 -1.0898 1.07482 7.08752 -0.25671 -0.134424 0.927672 -0.235488;
 -1.0898 1.07482 7.08752 -0.25671 -0.134424 0.927672 -0.235488;
 -1.09052 1.09592 7.00361 -0.304894 -0.0643126 0.909098 -0.276486;
 -1.08672 1.16095 6.92222 -0.143066 0.0327889 0.934597 -0.324014;
 -1.06921 1.24192 6.84117 0.0909624 0.124553 0.921259 -0.357063;
 -0.938114 1.25643 6.56963 0.0250728 -0.0305792 0.909115 -0.414665;
 -0.938114 1.25643 6.56963 0.0250728 -0.0305792 0.909115 -0.414665;
 -0.931738 1.26184 6.56624 0.0301889 -0.0187009 0.909978 -0.413133;
 -0.926659 1.26615 6.49635 -0.0148323 0.0364856 0.911056 -0.410398;
 -0.91479 1.26713 6.41725 -0.0296421 0.180014 0.897906 -0.400601;
 -0.57909 0.617076 6.08283 -0.0400039 -0.0227812 0.887306 -0.458878;
 -0.57909 0.617076 6.08283 -0.0400039 -0.0227812 0.887306 -0.458878;
 -0.574855 0.598082 6.07776 0.033197 0.0489085 0.888074 -0.455885;
 -0.532429 0.568905 5.76829 -0.132892 -0.0102739 0.866009 -0.481936;
 -0.521678 0.583517 5.76705 -0.0764005 -0.00534301 0.870188 -0.486731;
 -0.492887 0.635346 5.77784 0.0865208 0.0196008 0.86662 -0.491019;
 -0.476981 0.667935 5.75102 0.176667 0.0226881 0.853691 -0.489374;
