Posicoes do VANT [X Y Z qX qY qZ qW]

[
 5.85468e-321 0 6.9055e-310 -nan -nan -nan -nan;
 -2.02222 2.05005 8.02906 -0.00707787 0.0110818 0.999914 0.00016294;
 -2.02222 2.05005 8.02906 -0.00707787 0.0110818 0.999914 0.00016294;
 -2.02329 2.04868 8.03271 0.00233768 0.0193103 0.999811 -0.000500367;
 -2.02024 2.04351 8.0446 0.0504606 0.0691263 0.996323 -0.00402882;
 -1.88477 1.90781 8.06872 -0.0569853 -0.0448802 0.997323 -0.0091843;
 -1.88477 1.90781 8.06872 -0.0569853 -0.0448802 0.997323 -0.0091843;
 -1.86629 1.8896 8.07386 -0.0621882 -0.0607522 0.996147 -0.0114948;
 -1.85795 1.87745 8.08872 0.0296146 0.0365869 0.998705 -0.0193282;
 -1.85158 1.86807 8.09418 0.0621251 0.0829373 0.994359 -0.022641;
 -1.71021 1.75271 8.10938 -0.0221792 -0.00961084 0.99942 -0.0239714;
 -1.71021 1.75271 8.10938 -0.0221792 -0.00961084 0.99942 -0.0239714;
 -1.68684 1.73528 8.11284 -0.0400739 -0.0511942 0.997588 -0.0243306;
 -1.67442 1.72359 8.12227 0.00867434 -0.0123073 0.999527 -0.0267974;
 -1.6635 1.70805 8.12825 0.0605762 0.064922 0.995595 -0.0301189;
 -1.52587 1.57098 8.14369 -0.0194117 -0.000679375 0.999364 -0.029917;
 -1.52587 1.57098 8.14369 -0.0194117 -0.000679375 0.999364 -0.029917;
 -1.49596 1.54302 8.14897 -0.055676 -0.0504211 0.996716 -0.0302622;
 -1.47896 1.52502 8.15881 -0.0110983 -0.0175489 0.999235 -0.0331285;
 -1.46589 1.50805 8.16638 0.0507167 0.0592575 0.996258 -0.0372292;
 -1.31918 1.36328 8.17451 -0.0250589 -0.00402571 0.999042 -0.0356411;
 -1.31918 1.36328 8.17451 -0.0250589 -0.00402571 0.999042 -0.0356411;
 -1.28474 1.33315 8.17794 -0.0537958 -0.0528114 0.996517 -0.0356508;
 -1.26645 1.31516 8.18503 -0.00962949 -0.0211711 0.999005 -0.0380607;
 -1.25239 1.29646 8.19272 0.0500636 0.054333 0.996395 -0.0416883;
 -1.23179 1.27088 8.19663 0.0637267 0.103214 0.991707 -0.0424527;
 -1.08237 1.13308 8.21534 0.00269485 0.00336949 0.999118 -0.0417658;
 -1.08237 1.13308 8.21534 0.00269485 0.00336949 0.999118 -0.0417658;
 -1.0571 1.10716 8.21715 -0.0266729 -0.0195642 0.998548 -0.0425104;
 -1.03838 1.08638 8.2242 0.00602664 0.0111367 0.998919 -0.0447192;
 -0.87912 0.935021 8.23968 -0.0410278 -0.0397006 0.997526 -0.041014;
 -0.87912 0.935021 8.23968 -0.0410278 -0.0397006 0.997526 -0.041014;
 -0.857957 0.914791 8.24148 -0.0383366 -0.0462123 0.997393 -0.040028;
 -0.848458 0.902042 8.24605 -0.00712028 -0.00178545 0.999167 -0.0401415;
 -0.840029 0.889995 8.24992 0.0211541 0.0536793 0.997535 -0.0399304;
 -0.713629 0.826182 8.25986 -0.00785846 0.0184588 0.999353 -0.0298394;
 -0.713629 0.826182 8.25986 -0.00785846 0.0184588 0.999353 -0.0298394;
 -0.675929 0.814217 8.26336 -0.00857292 -0.0352082 0.998951 -0.0279876;
 -0.650358 0.803022 8.27302 0.0219759 -0.00597147 0.999359 -0.027607;
 -0.629578 0.788674 8.27758 0.0339024 0.0609618 0.997189 -0.0273402;
 -0.602277 0.76976 8.28011 0.0256065 0.0836496 0.99582 -0.0262627;
 -0.563067 0.745104 8.27981 0.0139034 0.0586819 0.997865 -0.0250792;
 -0.520932 0.719733 8.28047 0.00785487 0.0254198 0.999362 -0.0238394;
 -0.484528 0.69559 8.28381 0.0268017 0.0249965 0.99905 -0.0235916;
 -0.446441 0.665816 8.28661 0.0403339 0.0478756 0.997766 -0.0233437;
 -0.40903 0.633632 8.28898 0.0226126 0.0486706 0.998309 -0.0223352;
 -0.370017 0.600735 8.28946 0.00152504 0.0314122 0.999278 -0.0213057;
 -0.327896 0.566897 8.29119 -0.00130929 0.0327542 0.999247 -0.0207521;
 -0.289791 0.538913 8.29347 0.0202132 0.0497813 0.99834 -0.0207577;
 -0.246917 0.507473 8.29482 0.0219923 0.0466867 0.998454 -0.0206493;
 -0.206974 0.476416 8.29514 0.00554923 0.0286027 0.999377 -0.0199405;
 -0.165972 0.445537 8.29728 -0.00690972 0.0324634 0.999267 -0.0190514;
 -0.130043 0.420167 8.29871 -0.00407072 0.0357159 0.999193 -0.0179179;
 -0.0913218 0.395042 8.2991 0.00422577 0.0286719 0.999441 -0.0166395;
 -0.0558396 0.371382 8.30223 0.0058725 0.0381333 0.999137 -0.0153511;
 -0.0171505 0.346947 8.30558 -0.00346631 0.0573786 0.998252 -0.0137045;
 0.0250353 0.324152 8.30734 -0.012463 0.0661862 0.997658 -0.011955;
 0.0682421 0.306304 8.30845 -0.00647464 0.0622669 0.997981 -0.0107029;
 0.117684 0.288109 8.30974 0.00358932 0.0522705 0.998579 -0.0097787;
 0.163799 0.271655 8.31177 0.00352578 0.0448487 0.99895 -0.00865654;
 0.208444 0.254866 8.31452 -0.010531 0.0431179 0.998989 -0.00715181;
 0.257084 0.240167 8.31651 -0.0163366 0.0454617 0.998814 -0.00608799;
 0.306312 0.22879 8.31773 -0.00690753 0.0481245 0.998802 -0.00558867;
 0.352988 0.21935 8.31974 0.00476615 0.0489353 0.998778 -0.00508738;
 0.404786 0.207944 8.32198 -0.00228573 0.0482552 0.998824 -0.00408015;
 0.4531 0.198821 8.32277 -0.0138356 0.0471264 0.998789 -0.0030304;
 0.501484 0.192095 8.32365 -0.0220073 0.0464952 0.998674 -0.00206549;
 0.55425 0.188343 8.32548 -0.00956117 0.0464148 0.998875 -0.00179103;
 0.603032 0.18472 8.32739 -0.000578357 0.0466753 0.998909 -0.00153334;
 0.656219 0.18063 8.32894 -0.00912626 0.046191 0.998891 -0.000762521;
 0.708522 0.177117 8.33077 -0.0230038 0.0297414 0.999293 0.000314205;
 0.754077 0.177114 8.33294 -0.023206 0.0255132 0.999405 0.000567254;
 0.797067 0.178649 8.33394 -0.0142039 0.0412453 0.999048 0.000324826;
 0.844516 0.181262 8.3339 -0.000865983 0.0553569 0.998466 0.000242892;
 0.895431 0.181559 8.33366 -0.000339748 0.0583776 0.998294 0.000639747;
 0.943561 0.181601 8.33298 -0.0133687 0.0374756 0.999207 0.00121029;
 0.988719 0.182272 8.3332 -0.0172925 0.0288969 0.999432 0.00134259;
 1.03512 0.184852 8.33286 -0.0129539 0.0403205 0.999102 0.00110926;
 1.07746 0.186874 8.33277 -0.00203992 0.0537122 0.998554 0.00088736;
 1.12563 0.188193 8.33233 0.00520279 0.0582643 0.998287 0.00105236;
 1.17593 0.186894 8.33187 -0.00648824 0.0545449 0.998489 0.00181303;
 1.22401 0.186562 8.33096 -0.0193457 0.0483542 0.998639 0.00264729;
 1.27216 0.187635 8.33025 -0.0109685 0.0448395 0.99893 0.00267751;
 1.32435 0.189795 8.32929 0.00474499 0.0448894 0.998977 0.00252847;
 1.37191 0.189727 8.32775 0.00261962 0.0463129 0.998919 0.00292866;
 1.42382 0.189051 8.32484 -0.00952129 0.047731 0.998808 0.00367293;
 1.47161 0.188928 8.32242 -0.0149193 0.0481275 0.99872 0.00434054;
 1.52426 0.19106 8.31925 -0.0131605 0.0477896 0.99876 0.00465689;
 1.57352 0.193532 8.31573 -0.00448551 0.0472973 0.99886 0.00469609;
 1.62719 0.195741 8.31168 0.002004 0.0467159 0.998895 0.00477937;
 1.67623 0.195687 8.30846 -0.00292508 0.0463695 0.998906 0.00527611;
 1.72936 0.195818 8.30402 -0.0137339 0.046384 0.998811 0.00600837;
 1.77767 0.196469 8.29942 -0.0105503 0.0467152 0.998833 0.00625843;
 1.8307 0.198018 8.29427 -0.00106821 0.0469776 0.998876 0.00627491;
 1.87984 0.197967 8.28957 -0.00103283 0.04699 0.998873 0.00660719;
 1.93349 0.197623 8.28638 -0.011809 0.0467405 0.998811 0.00722292;
 1.98259 0.197804 8.28323 -0.019658 0.0466874 0.998686 0.00776632;
 2.03649 0.201003 8.28003 -0.0150985 0.0469977 0.998749 0.00799888;
 2.09078 0.204968 8.27645 -0.00475451 0.0472168 0.998842 0.00791981;
 2.1415 0.209063 8.27336 -0.003128 0.0470367 0.998855 0.0081131;
 2.19188 0.212733 8.26945 -0.0108352 0.0469429 0.998801 0.00863753;
 2.24565 0.217068 8.26465 -0.0198062 0.0467625 0.998668 0.00914081;
 2.29853 0.223119 8.25947 -0.0172825 0.0468242 0.998711 0.0092463;
 2.34624 0.228742 8.25492 -0.00485311 0.0471861 0.998834 0.00899182;
 2.39415 0.233148 8.24991 0.00363937 0.04765 0.998818 0.00883634;
 2.44569 0.234657 8.24409 -0.00520755 0.0478421 0.998798 0.00928714;
 2.49374 0.236474 8.23856 -0.0153943 0.0477847 0.998691 0.00982928;
 2.54564 0.23986 8.23187 -0.0138475 0.047684 0.998717 0.00996689;
 2.59364 0.243764 8.2267 0.00055873 0.0478004 0.99881 0.00967915;
 2.64506 0.245688 8.22039 0.00925511 0.0479873 0.998759 0.00955427;
 2.69277 0.245615 8.2146 -0.000857915 0.0477978 0.998806 0.0100226;
 2.74374 0.24494 8.20832 -0.0172909 0.0476116 0.998658 0.0107434;
 2.7913 0.246806 8.20294 -0.0199952 0.0477334 0.9986 0.0109597;
 2.84298 0.250647 8.19747 -0.0038353 0.0480196 0.998784 0.0105067;
 2.89135 0.252767 8.19268 0.0125926 0.0480067 0.998717 0.0100941;
 2.94418 0.250588 8.18841 -0.000796857 0.0478728 0.998795 0.0108123;
 2.99342 0.24875 8.18372 -0.0242599 0.0476873 0.998499 0.0116993;
 3.047 0.250517 8.1774 -0.031732 0.0476903 0.998284 0.0121471;
 3.10052 0.256351 8.17155 -0.0149364 0.0479101 0.99867 0.0117854;
 3.14992 0.261766 8.16561 0.000842268 0.0480711 0.998778 0.0114208;
 3.19999 0.265497 8.15954 -0.00589463 0.0472444 0.998799 0.0116015;
 3.25395 0.268818 8.15391 -0.0233398 0.0324142 0.999128 0.0121648;
 3.30126 0.274526 8.14942 -0.0290435 0.0300777 0.999052 0.0121061;
 3.34969 0.283036 8.14374 -0.00592577 0.0439113 0.998956 0.0111586;
 3.39874 0.289962 8.1368 0.0122139 0.054881 0.998365 0.0102982;
 3.44634 0.29216 8.12934 0.00805856 0.0573451 0.998268 0.0104161;
 3.49937 0.292653 8.12222 -0.0155741 0.0392044 0.999051 0.0108149;
 3.54616 0.295141 8.11652 -0.0283316 0.0275101 0.999166 0.0104259;
 3.59075 0.29986 8.11105 -0.0050291 0.0390103 0.999184 0.00912795;
 3.63906 0.302889 8.1052 0.018865 0.0546226 0.998298 0.0077857;
 3.68608 0.301072 8.09971 0.0138704 0.0590634 0.998127 0.00779999;
 3.73886 0.296488 8.09462 -0.021337 0.0357086 0.999101 0.00813211;
 3.78523 0.295702 8.08999 -0.0427656 0.0223648 0.998804 0.00780378;
 3.83086 0.301745 8.08527 -0.0203555 0.033415 0.999213 0.00657099;
 3.87188 0.307338 8.08069 0.0168932 0.038777 0.999091 0.00523974;
 3.91636 0.308261 8.07145 0.0207864 0.0466522 0.99868 0.00552954;
 3.95895 0.306486 8.00085 -0.0220007 0.0547441 0.998232 0.0071444;
 3.99797 0.307959 7.89956 -0.0584403 0.0457849 0.997203 0.00864246;
 4.04353 0.324621 7.86532 -0.0313822 0.0222612 0.999218 0.00912138;
 4.08303 0.344596 7.88119 0.0286004 0.0104075 0.999497 0.00894339;
 4.11846 0.357886 7.87866 0.023584 0.0329029 0.999116 0.0113311;
 4.15612 0.366765 7.86793 -0.0197644 0.05978 0.997908 0.0146662;
 4.19013 0.374054 7.80438 -0.0635402 0.0678276 0.995514 0.0177395;
 4.22755 0.388101 7.69371 -0.0587459 0.0476648 0.996933 0.0200205;
 4.26336 0.406517 7.59532 -0.00245586 0.0240088 0.999511 0.0198763;
 4.29905 0.422814 7.49396 0.041274 0.0143594 0.998854 0.01951;
 4.32905 0.42273 7.47132 0.0217918 0.0114967 0.999505 0.0195767;
 4.35951 0.417357 7.48867 -0.0495259 0.0472603 0.997406 0.0222414;
 4.38897 0.41796 7.48058 -0.0907039 0.069871 0.993101 0.0253356;
 4.42143 0.424876 7.40756 -0.117046 0.0856862 0.989014 0.0284406;
 4.45542 0.438256 7.3064 -0.0615613 0.0663311 0.995404 0.031317;
 4.49624 0.458404 7.20005 -0.00549844 0.0270433 0.999052 0.0336763;
 4.53078 0.473786 7.10964 0.00639856 0.00300181 0.999367 0.0348611;
 4.56068 0.484111 7.09654 -0.00262861 0.00282486 0.999375 0.0351507;
 4.58595 0.493996 7.11033 -0.0247049 0.0440765 0.998092 0.0354725;
 4.61306 0.505071 7.09726 -0.0341185 0.084051 0.995247 0.0354271;
 4.6436 0.519632 7.02642 -0.0335984 0.0858751 0.995096 0.0357782;
 4.67807 0.534257 6.91425 -0.00169619 0.0281692 0.998918 0.0369696;
 4.70804 0.54569 6.81107 0.0187131 -0.00526911 0.999095 0.0378436;
 4.72679 0.54729 6.79494 0.00866767 -0.00226008 0.999239 0.0379721;
 4.74088 0.547058 6.80725 -0.024647 0.0553543 0.997409 0.0387772;
 4.75861 0.54642 6.74958 -0.0474986 0.138156 0.988525 0.03841;
 4.7878 0.551879 6.64742 -0.0332975 0.15257 0.98701 0.0377443;
 4.83782 0.560067 6.54005 0.000415376 0.0608425 0.997408 0.0384097;
 4.88529 0.566412 6.439 0.0225994 -0.0494215 0.997766 0.0388506;
 4.91136 0.565184 6.35493 0.0160841 -0.0613867 0.997213 0.0392385;
 4.91513 0.560021 6.34672 -0.00315584 -0.00788611 0.999186 0.0394259;
 4.92101 0.553878 6.36283 -0.0242046 0.0924919 0.994643 0.0393142;
 4.94498 0.554713 6.37341 -0.0192213 0.0703247 0.996503 0.0408233;
 4.97354 0.555191 6.36934 0.00656218 -0.0216939 0.99883 0.0427182;
 4.98784 0.553167 6.35614 0.0191419 -0.0724173 0.996249 0.0433346;
 4.99297 0.547565 6.29353 0.0220446 -0.0855014 0.995147 0.0434243;
 4.97942 0.538075 6.26763 0.00891175 -0.0338833 0.998439 0.0434945;
 4.9604 0.524558 6.28489 -0.0133511 0.0827317 0.995516 0.0438838;
 4.95869 0.516377 6.29188 -0.0169359 0.112958 0.992464 0.0443719;
 4.96914 0.50973 6.28867 -0.00465209 0.0457833 0.997925 0.0450229;
 4.97986 0.503221 6.28437 0.00550439 -0.0288983 0.998545 0.0451955;
 4.9806 0.49407 6.28128 0.00692017 -0.0511734 0.997671 0.0445689;
 4.97137 0.48462 6.28729 -0.00535723 0.0281373 0.998616 0.0441142;
 4.96894 0.474329 6.28222 -0.0144886 0.129283 0.99056 0.0432124;
 4.9753 0.467143 6.22177 -0.0163833 0.191861 0.980393 0.0418423;
 5.00387 0.459908 6.12564 -0.0130051 0.15278 0.987273 0.0422147;
 5.0613 0.458723 6.10547 -0.00553498 0.0586147 0.997361 0.0424837;
 5.12472 0.456894 6.11387 -0.00171861 -0.00527074 0.999125 0.0414577;
 5.17013 0.45559 6.10272 -0.00259237 -0.00740912 0.999159 0.0402544;
