Posicoes do VANT [X Y Z qX qY qZ qW]

[
 5.85468e-321 0 6.90594e-310 -nan -nan -nan -nan;
 2.04278 2.044 8.0292 -0.00116252 0.0111669 0.999937 1.82496e-05;
 2.04278 2.044 8.0292 -0.00116252 0.0111669 0.999937 1.82496e-05;
 2.0425 2.04374 8.02854 -0.0011928 0.0112003 0.999937 -1.27283e-05;
 2.04264 2.04418 8.0168 -0.00134083 0.00576092 0.999983 1.54257e-05;
 2.04154 2.04466 7.97301 -0.00117935 -0.0162525 0.999867 4.72888e-05;
 1.58706 1.72249 7.6968 -0.121599 0.209843 0.968341 0.0591152;
 1.58706 1.72249 7.6968 -0.121599 0.209843 0.968341 0.0591152;
 1.57719 1.70751 7.69505 -0.0854781 0.155316 0.982214 0.0618487;
 1.58292 1.69977 7.68986 -0.0319619 0.0582584 0.995714 0.0643315;
 1.58981 1.69471 7.63044 0.0182851 -0.0342579 0.997049 0.0662151;
 1.62695 1.68956 7.35258 -0.114234 0.176817 0.972987 0.0947785;
 1.62695 1.68956 7.35258 -0.114234 0.176817 0.972987 0.0947785;
 1.66688 1.71461 7.31793 -0.0716354 0.108454 0.986584 0.0987862;
 1.7412 1.7651 7.26751 0.0145289 -0.0228628 0.994266 0.103446;
 1.78467 1.79658 7.20043 0.0836063 -0.11387 0.984143 0.107265;
 1.86697 1.77507 6.84363 -0.120899 0.102489 0.971784 0.174685;
 1.86697 1.77507 6.84363 -0.120899 0.102489 0.971784 0.174685;
 1.91431 1.80913 6.80361 -0.0581009 0.0448505 0.981043 0.179353;
 1.94308 1.83778 6.78424 -0.0129995 -0.0102505 0.983152 0.18204;
 1.96887 1.86327 6.73796 0.0713444 -0.116648 0.972899 0.186469;
 1.74791 1.81723 6.3914 0.00694721 0.119666 0.975915 0.182267;
 1.74791 1.81723 6.3914 0.00694721 0.119666 0.975915 0.182267;
 1.74174 1.81721 6.38769 0.000985541 0.0924278 0.979098 0.181174;
 1.74187 1.81705 6.38428 -0.0054504 0.04162 0.982875 0.17943;
 1.55906 1.65208 6.15797 -0.0760613 0.083222 0.977174 0.180052;
 1.55906 1.65208 6.15797 -0.0760613 0.083222 0.977174 0.180052;
 1.5561 1.65274 6.1562 -0.0477458 0.0543747 0.980953 0.180266;
 1.55402 1.65782 6.15098 -0.00847522 0.00603951 0.983629 0.179906;
 1.31002 1.65598 5.93191 -0.0071659 0.089572 0.983205 0.158851;
 1.31002 1.65598 5.93191 -0.0071659 0.089572 0.983205 0.158851;
 1.30777 1.65849 5.93058 -0.00914151 0.0509496 0.986118 0.157769;
 1.29802 1.6647 5.89151 -0.00657651 -0.0342266 0.987217 0.155523;
 1.17625 1.48311 5.52614 -0.100278 0.0215402 0.982937 0.152693;
 1.17625 1.48311 5.52614 -0.100278 0.0215402 0.982937 0.152693;
 1.16896 1.46928 5.52301 -0.0805187 0.0222305 0.984926 0.151472;
 1.16387 1.46618 5.50453 -0.0527 0.0121287 0.986976 0.151506;
