Posicoes do VANT [X Y Z qX qY qZ qW]

[
 5.85468e-321 0 6.92824e-310 -nan -nan -nan -nan;
 1.98224 2.08524 8.06099 -0.0116313 0.0160429 0.999804 0.000116705;
 1.98224 2.08524 8.06099 -0.0116313 0.0160429 0.999804 0.000116705;
 1.98221 2.08542 8.05334 -0.0114974 0.0136274 0.999841 0.000151897;
 1.98061 2.08484 7.9901 -0.0068158 -0.0307255 0.999504 0.00117151;
 1.96518 2.07752 7.91101 0.0956729 -0.155814 0.983008 0.0162237;
 1.3776 1.53065 7.64107 -0.174699 0.204775 0.960161 0.0750931;
 1.3776 1.53065 7.64107 -0.174699 0.204775 0.960161 0.0750931;
 1.36572 1.50783 7.63725 -0.105944 0.124474 0.983447 0.0781887;
 1.35458 1.48572 7.58104 -0.0306473 0.0128829 0.995924 0.0838423;
 1.33852 1.46126 7.50746 0.0258016 -0.0132808 0.995764 0.0872427;
 1.3238 1.43494 7.42832 -0.0600003 0.101486 0.987697 0.10274;
 1.32624 1.42371 7.34458 -0.162153 0.160461 0.966117 0.120736;
 1.35041 1.44794 7.25772 -0.159181 0.0585145 0.974175 0.149065;
 1.37316 1.49506 7.18237 0.00849705 -0.0861816 0.980725 0.175153;
 1.37062 1.5209 7.10515 0.161299 -0.225772 0.941443 0.191558;
 0.974774 1.39491 6.73512 0.0171956 0.0577347 0.967134 0.247027;
 0.974774 1.39491 6.73512 0.0171956 0.0577347 0.967134 0.247027;
 0.931658 1.40724 6.72938 0.0564153 0.0705099 0.965479 0.244329;
 0.887397 1.41403 6.66227 0.0708098 0.0382609 0.967507 0.23969;
 0.849256 1.41112 6.57429 -0.025365 -0.0651031 0.971078 0.228309;
 0.794621 1.40931 6.46646 -0.0874983 -0.130189 0.963841 0.21542;
 0.722856 1.4114 6.37018 0.0279495 -0.0895408 0.971929 0.215766;
 0.445475 0.908527 6.05879 -0.184246 0.0432308 0.960489 0.20407;
 0.445475 0.908527 6.05879 -0.184246 0.0432308 0.960489 0.20407;
 0.426208 0.893341 6.05077 -0.0996324 0.0283289 0.97317 0.205453;
 0.403289 0.88245 5.98542 -0.00937008 -0.0266446 0.977597 0.208582;
 0.215067 0.925723 5.62382 -0.132219 0.0266694 0.971947 0.192681;
 0.215067 0.925723 5.62382 -0.132219 0.0266694 0.971947 0.192681;
 0.169301 0.998111 5.61878 -0.0100914 0.0220195 0.980545 0.194794;
 0.125672 1.06596 5.57345 0.128027 -0.0116584 0.973061 0.19138;
 0.0765717 1.10174 5.49411 0.129044 -0.0979969 0.971049 0.175522;
 -0.328674 1.42817 5.17146 0.0920283 0.00386041 0.987097 0.130979;
 -0.328674 1.42817 5.17146 0.0920283 0.00386041 0.987097 0.130979;
 -0.583454 1.53662 5.0102 -0.0457489 -0.00192123 0.988315 0.145386;
 -0.583454 1.53662 5.0102 -0.0457489 -0.00192123 0.988315 0.145386;
 -0.612161 1.55235 5.00848 -0.0236085 0.00451645 0.989406 0.143169;
 -0.636089 1.56288 4.95427 -0.00672092 0.0405894 0.989236 0.140425;
 -0.655002 1.56922 4.85529 0.0612859 0.119229 0.982458 0.129635;
 -0.498714 1.35182 4.584 -0.0458167 -0.0122569 0.99425 0.096009;
 -0.498714 1.35182 4.584 -0.0458167 -0.0122569 0.99425 0.096009;
 -0.508602 1.35554 4.58177 -0.0104398 0.0203836 0.995299 0.0941046;
 -0.58265 1.28811 4.33072 -0.0366536 0.0504638 0.995224 0.0750952;
 -0.58265 1.28811 4.33072 -0.0366536 0.0504638 0.995224 0.0750952;
 -0.589882 1.28512 4.33405 -0.0220001 0.0296685 0.996479 0.0752642;
 -0.597851 1.28039 4.27815 -0.00597168 -0.0127255 0.996999 0.0761303;
 -0.607664 1.2727 4.19703 0.0431437 0.0321731 0.995871 0.0731024;
