Posicoes do VANT [X Y Z qX qY qZ qW]

[
 5.85468e-321 0 6.92315e-310 -nan -nan -nan -nan;
 2.00429 1.88232 7.91575 -0.0177079 0.00322488 0.999838 9.72749e-05;
 2.00429 1.88232 7.91575 -0.0177079 0.00322488 0.999838 9.72749e-05;
 2.00602 1.88168 7.91827 -0.0178319 0.00305949 0.999836 0.000215328;
 2.00641 1.88386 7.91848 0.00563631 -0.012889 0.9999 0.00130335;
 2.00523 1.87643 7.91278 0.0428007 -0.046216 0.998008 0.0034783;
 1.9086 1.75213 7.88516 -0.0430965 0.0354553 0.998436 0.00339775;
 1.9086 1.75213 7.88516 -0.0430965 0.0354553 0.998436 0.00339775;
 1.89827 1.73346 7.88022 -0.0480131 0.0457024 0.997794 0.00350253;
 1.89464 1.7228 7.8779 -0.0136268 0.0142703 0.999795 0.00444569;
 1.89024 1.70867 7.87637 0.0298488 -0.0395777 0.998749 0.00652252;
 1.87902 1.69117 7.8727 0.0402163 -0.0654686 0.997018 0.00724669;
 1.75264 1.55031 7.84985 -0.0392714 0.0345202 0.998619 0.00515254;
 1.75264 1.55031 7.84985 -0.0392714 0.0345202 0.998619 0.00515254;
 1.74037 1.53474 7.84637 -0.0428278 0.038364 0.998333 0.00509471;
 1.73446 1.5208 7.84457 -0.0166883 0.0118878 0.999775 0.00542813;
 1.73044 1.51132 7.84453 0.0264354 -0.0394007 0.998849 0.00703722;
 1.71511 1.48988 7.84189 0.0316698 -0.0660119 0.99729 0.00718583;
 1.6288 1.41877 7.83548 -0.00404265 -0.0161194 0.999851 0.00464239;
 1.6288 1.41877 7.83548 -0.00404265 -0.0161194 0.999851 0.00464239;
 1.59845 1.39367 7.83554 -0.0047989 0.00193063 0.999977 0.00438036;
 1.5743 1.3735 7.83644 -0.00927027 0.0147637 0.999835 0.00516375;
 1.55354 1.35047 7.83667 0.0103033 -0.00970797 0.999881 0.00610404;
 1.53493 1.32908 7.83572 0.0197944 -0.0356807 0.999146 0.00650073;
 1.50876 1.30006 7.8347 0.0181462 -0.0446365 0.99882 0.00611205;
 1.47773 1.26961 7.83441 0.0110868 -0.0369304 0.999242 0.0053465;
 1.44597 1.23803 7.8342 0.00561118 -0.0250216 0.999661 0.00453951;
 1.41431 1.20789 7.83351 0.00450695 -0.0183799 0.999814 0.00373961;
 1.38081 1.17388 7.83313 0.00582115 -0.018536 0.999807 0.00290181;
 1.35083 1.14394 7.83249 0.00633907 -0.0222957 0.999729 0.00206402;
 1.31645 1.1094 7.83323 0.00540693 -0.0253621 0.999663 0.00130664;
 1.28513 1.07893 7.83371 0.00379117 -0.0260526 0.999653 0.000713209;
 1.24979 1.04441 7.83374 0.00303568 -0.0254751 0.999671 -3.22423e-05;
 1.21753 1.01446 7.83334 0.00320583 -0.0243091 0.999699 -0.000776809;
 1.1811 0.981611 7.83201 0.00375077 -0.02358 0.999714 -0.00130541;
 1.14549 0.95027 7.83113 0.00219061 -0.0237967 0.999713 -0.00190605;
 1.11391 0.922483 7.83174 0.000171597 -0.0241981 0.999704 -0.00264054;
 1.07776 0.891897 7.83206 -6.06546e-05 -0.024721 0.999689 -0.00331068;
 1.03981 0.86124 7.83218 -0.000111644 -0.025002 0.99968 -0.00390722;
 1.00595 0.834697 7.83198 -0.000522487 -0.0247732 0.999683 -0.00443212;
 0.969792 0.807526 7.83121 -0.00134756 -0.0246433 0.999683 -0.00491529;
 0.932101 0.779954 7.83072 -0.00436137 -0.0245384 0.999675 -0.00543408;
 0.895392 0.754471 7.83019 -0.00907757 -0.0243287 0.999645 -0.00592741;
 0.857261 0.729882 7.82929 -0.0121962 -0.023989 0.999618 -0.00636514;
 0.820693 0.708598 7.82895 -0.0114925 -0.0239544 0.999624 -0.00673452;
 0.7858 0.689032 7.82862 -0.00897969 -0.0175661 0.999779 -0.00722616;
 0.753113 0.671255 7.82822 -0.0077002 -0.00446986 0.99993 -0.00783775;
 0.719153 0.651204 7.82819 -0.00748102 0.00100382 0.999938 -0.0082231;
 0.690536 0.632418 7.82804 -0.00791752 -0.00272481 0.999928 -0.00862636;
 0.663049 0.614834 7.82812 -0.00838621 -0.0095867 0.99988 -0.00886816;
 0.638283 0.598436 7.82753 -0.00827623 -0.0134889 0.999833 -0.00914165;
 0.60995 0.581114 7.82666 -0.00749359 -0.0138534 0.999832 -0.009384;
 0.585717 0.565531 7.80866 -0.00804619 -0.0142184 0.999819 -0.00976403;
 0.559233 0.549042 7.78135 -0.00843661 -0.0135327 0.999822 -0.0100841;
 0.535804 0.535537 7.79492 -0.00601403 -0.0112432 0.999865 -0.010398;
 0.510261 0.521692 7.7936 -0.00520288 -0.012049 0.999856 -0.0107669;
 0.487869 0.508807 7.79094 -0.00612725 -0.0131111 0.999834 -0.011089;
 0.461182 0.494973 7.79106 -0.00708198 -0.0133978 0.999822 -0.0112617;
 0.437688 0.482283 7.79068 -0.0076552 -0.0190412 0.999723 -0.0115132;
 0.411268 0.466807 7.76587 -0.00984448 -0.0276454 0.9995 -0.0117742;
