Posicoes do VANT [X Y Z qX qY qZ qW]

[
 5.85468e-321 0 6.90898e-310 -nan -nan -nan -nan;
 1.99839 2.0005 8.05168 -0.00460224 0.00972925 0.999942 7.83931e-06;
 1.99839 2.0005 8.05168 -0.00460224 0.00972925 0.999942 7.83931e-06;
 1.99953 2.00001 8.05095 -0.00482074 0.00957939 0.999942 -4.0756e-05;
 2.00013 1.99839 8.05562 0.0140702 -0.00662888 0.999879 0.000815457;
 1.99705 1.99365 8.0675 0.0630041 -0.0599208 0.996206 0.00358307;
 1.80462 1.80871 8.10439 -0.0553499 0.0778716 0.995369 0.010592;
 1.80462 1.80871 8.10439 -0.0553499 0.0778716 0.995369 0.010592;
 1.79332 1.79486 8.10841 -0.0377079 0.0577064 0.99756 0.0110531;
 1.78652 1.78297 8.11616 0.00907098 0.00307995 0.999875 0.0125704;
 1.78026 1.7728 8.12512 0.053607 -0.0535407 0.997014 0.0149149;
 1.63689 1.64206 8.14641 -0.0289541 0.0512763 0.998074 0.0195269;
 1.63689 1.64206 8.14641 -0.0289541 0.0512763 0.998074 0.0195269;
 1.62661 1.63002 8.14994 -0.0283366 0.0501746 0.998151 0.0193186;
 1.6218 1.62029 8.15696 -0.00489541 0.0211436 0.999578 0.0193111;
 1.61713 1.61054 8.16609 0.049158 -0.0463982 0.997488 0.0211899;
 1.42598 1.44561 8.19868 -0.0377328 0.0734998 0.996365 0.0207402;
 1.42598 1.44561 8.19868 -0.0377328 0.0734998 0.996365 0.0207402;
 1.4142 1.43337 8.20248 -0.0230852 0.0554103 0.997989 0.0203804;
 1.41094 1.42627 8.20867 -0.00173927 0.0137246 0.999699 0.0202687;
 1.40174 1.41481 8.21628 0.0282306 -0.0454427 0.998343 0.0212004;
 1.38449 1.4004 8.21962 0.0330555 -0.060982 0.997356 0.0216785;
 1.35641 1.37987 8.20183 0.0226986 -0.0356003 0.998873 0.0216726;
 1.32759 1.3592 8.13925 0.0146048 0.000289678 0.999661 0.0215678;
 1.30656 1.33793 8.15638 0.0125446 0.00269045 0.999704 0.0206546;
 1.28667 1.31678 8.17127 0.0415796 -0.0348894 0.998324 0.0200612;
 1.25744 1.28787 8.16695 0.0621895 -0.0652435 0.995732 0.0198486;
