Posicoes do VANT [X Y Z qX qY qZ qW]

[
 5.85468e-321 0 6.91977e-310 -nan -nan -nan -nan;
 1.97709 1.95561 7.99773 -0.000960625 0.00654825 0.999978 -2.71004e-05;
 1.97709 1.95561 7.99773 -0.000960625 0.00654825 0.999978 -2.71004e-05;
 1.97608 1.95535 7.99921 -0.00098072 0.00666678 0.999977 -5.4243e-05;
 1.97532 1.95583 8.00193 0.0124807 -0.00307802 0.999917 0.000348849;
 1.97274 1.9524 8.00396 0.0300926 -0.0204009 0.999338 0.000939116;
 1.96559 1.94455 8.00584 0.0331877 -0.027443 0.999071 0.00135945;
 1.95443 1.93139 8.00662 0.0256086 -0.022031 0.999428 0.00156833;
 1.93899 1.91529 8.00733 0.0168485 -0.0114474 0.999791 0.00165877;
 1.92328 1.89802 8.00773 0.0122488 -0.00401067 0.999916 0.0015196;
 1.90907 1.88273 8.00751 0.0114403 -0.00217053 0.999931 0.0012145;
 1.89418 1.86455 8.00584 0.0121569 -0.00390117 0.999918 0.00100634;
 1.88031 1.84847 8.00334 0.0127207 -0.00621644 0.999899 0.0008002;
 1.86594 1.83008 8.00076 0.0125686 -0.00710812 0.999896 0.000570795;
 1.84986 1.81101 7.99847 0.011884 -0.00650414 0.999908 0.000293679;
 1.83533 1.79141 7.99688 0.0114717 -0.00557027 0.999919 0.000242934;
 1.81913 1.77151 7.99587 0.0114764 -0.00505689 0.999921 0.000148357;
 1.80351 1.75209 7.99427 0.0114584 -0.00495304 0.999922 7.71709e-05;
 1.78668 1.73247 7.99378 0.0116082 -0.00508079 0.99992 1.67323e-05;
 1.77189 1.71336 7.99454 0.0117302 -0.00517959 0.999918 -2.02726e-05;
 1.75567 1.69388 7.99542 0.0117972 -0.00527186 0.999917 -3.20316e-06;
 1.73928 1.67259 7.99535 0.0119427 -0.00526242 0.999915 -5.89634e-05;
 1.724 1.65437 7.99478 0.0121634 -0.00529992 0.999912 -0.000115272;
 1.70811 1.63369 7.99499 0.0122828 -0.00528487 0.999911 -0.000128506;
 1.69328 1.61594 7.99464 0.0124073 -0.00563955 0.999907 -0.000108107;
 1.67846 1.59696 7.9944 0.012618 -0.00597222 0.999903 -0.000223125;
 1.66213 1.57758 7.9942 0.0126502 -0.00605112 0.999902 -0.000120709;
 1.64736 1.55756 7.99435 0.0125802 -0.00592282 0.999903 -0.000204033;
 1.63122 1.53772 7.99416 0.0125337 -0.00588811 0.999904 -0.000284871;
 1.61633 1.52043 7.99331 0.0126884 -0.00614332 0.999901 -0.000365118;
 1.60183 1.5002 7.99282 0.0129583 -0.00636481 0.999896 -0.000287273;
 1.58796 1.48246 7.9921 0.0129706 -0.00646926 0.999895 -0.000299917;
 1.57331 1.46128 7.99159 0.0128175 -0.00649841 0.999897 -0.000360651;
 1.55811 1.44102 7.99091 0.0126656 -0.00651618 0.999898 -0.000378732;
 1.54426 1.4207 7.99033 0.0123743 -0.00656399 0.999902 -0.000362421;
 1.52869 1.39967 7.98866 0.0121895 -0.00650796 0.999904 -0.000349777;
 1.51444 1.37851 7.98735 0.0123057 -0.00652403 0.999903 -0.000379279;
 1.49951 1.35889 7.98592 0.012506 -0.00639289 0.999901 -0.000416959;
