Posicoes do VANT [X Y Z qX qY qZ qW]

[
 5.85468e-321 0 6.92006e-310 -nan -nan -nan -nan;
 2.09099 2.05486 8.00532 -0.00227307 0.00147545 0.999996 8.39565e-05;
 2.09099 2.05486 8.00532 -0.00227307 0.00147545 0.999996 8.39565e-05;
 2.09046 2.05518 8.00662 -0.00228601 0.00140436 0.999996 0.000118348;
 2.09019 2.05509 8.0068 -0.00251599 0.00130265 0.999996 0.000120034;
 2.08807 2.0546 7.9616 -0.00225233 -0.0234927 0.999721 0.000137062;
 2.07965 2.05281 7.88777 0.064535 -0.124035 0.990136 0.00902967;
 1.49759 1.5635 7.46928 -0.102537 0.127912 0.985415 0.0456275;
 1.49759 1.5635 7.46928 -0.102537 0.127912 0.985415 0.0456275;
 1.48271 1.5485 7.46779 -0.0544293 0.0719315 0.994863 0.0459429;
 1.47667 1.54152 7.46801 -0.0163544 0.0163362 0.998677 0.0459368;
 1.46788 1.53323 7.42458 0.0130858 -0.0525543 0.997481 0.0458113;
 1.45212 1.52143 7.32528 0.0607572 -0.12657 0.988922 0.0481923;
 1.41963 1.50168 7.23244 0.0262836 -0.0787479 0.995236 0.0511243;
 1.38347 1.48193 7.14801 -0.0633194 0.0507113 0.995165 0.0553737;
 1.40604 1.51649 6.86888 0.0421426 -0.00545087 0.996915 0.0659895;
 1.40604 1.51649 6.86888 0.0421426 -0.00545087 0.996915 0.0659895;
 1.4211 1.52205 6.79557 0.133232 -0.176956 0.972579 0.0708897;
 1.3942 1.49272 6.72054 0.177498 -0.203288 0.959042 0.0860656;
 1.33741 1.37789 6.33507 0.00771893 -0.0204753 0.992475 0.120479;
 1.33741 1.37789 6.33507 0.00771893 -0.0204753 0.992475 0.120479;
 1.3736 1.3963 6.33979 0.0383852 -0.111518 0.985836 0.119241;
 1.38452 1.40218 6.33151 0.030485 -0.107797 0.986758 0.117295;
 1.4551 1.48635 5.97777 0.0175867 -0.030389 0.992446 0.117554;
 1.4551 1.48635 5.97777 0.0175867 -0.030389 0.992446 0.117554;
 1.48236 1.50798 5.97634 0.0293658 -0.0800869 0.989649 0.115409;
 1.39595 1.48808 5.69358 -0.00218788 -0.00718496 0.994726 0.102294;
 1.39595 1.48808 5.69358 -0.00218788 -0.00718496 0.994726 0.102294;
 1.39769 1.49449 5.69317 0.00257438 -0.0182004 0.994797 0.100209;
 1.26368 1.41848 5.41108 -0.00208571 -0.00511172 0.996189 0.0870479;
 1.26368 1.41848 5.41108 -0.00208571 -0.00511172 0.996189 0.0870479;
 1.25826 1.41731 5.41038 0.00305367 -0.0163409 0.996197 0.0855293;
 1.25061 1.4151 5.40307 0.000195553 -0.0121652 0.996407 0.0838206;
 1.07325 1.287 5.0226 -0.0195454 0.0225971 0.996149 0.0824307;
 1.07325 1.287 5.0226 -0.0195454 0.0225971 0.996149 0.0824307;
 1.07361 1.29003 5.0224 -9.80309e-05 -0.00605789 0.996634 0.0817599;
 1.06882 1.28885 5.01855 0.00545064 -0.0180429 0.996575 0.0805117;
 1.06286 1.28626 4.95718 0.0120821 -0.0494989 0.995534 0.0794708;
 0.86011 1.08912 4.52979 -0.0193712 0.0221536 0.99651 0.0781105;
 0.86011 1.08912 4.52979 -0.0193712 0.0221536 0.99651 0.0781105;
 0.858332 1.08688 4.52809 -0.00103377 -0.00486445 0.996967 0.07766;
 0.852844 1.08241 4.52286 0.00336737 -0.0156382 0.996917 0.0768169;
 0.845912 1.07705 4.4616 0.00876715 -0.0500207 0.995811 0.07604;
 0.63934 0.881402 4.03196 -0.0475579 0.048125 0.994779 0.0763995;
 0.63934 0.881402 4.03196 -0.0475579 0.048125 0.994779 0.0763995;
 0.635843 0.876941 4.02956 -0.0172968 0.0181145 0.996759 0.076446;
 0.63402 0.874533 4.02268 0.000394699 -0.00631006 0.997075 0.0761691;
 0.629543 0.871138 3.96602 0.0171241 -0.0542824 0.995484 0.075969;
 0.618372 0.863398 3.85682 0.0519649 -0.102068 0.990392 0.0774921;
 0.409892 0.650706 3.42707 -0.0644899 0.0412987 0.993975 0.0784198;
 0.409892 0.650706 3.42707 -0.0644899 0.0412987 0.993975 0.0784198;
 0.397962 0.635761 3.4218 -0.0441672 0.0329892 0.995435 0.0779165;
 0.392049 0.629744 3.41612 -0.0156638 0.0125967 0.996773 0.0777205;
 0.386359 0.623738 3.35742 0.0147167 -0.0355717 0.996202 0.0780991;
 0.375884 0.614105 3.25701 0.0718393 -0.0861044 0.990411 0.0806953;
 0.272934 0.522419 2.81236 -0.0157684 0.0217441 0.996062 0.0844887;
 0.272934 0.522419 2.81236 -0.0157684 0.0217441 0.996062 0.0844887;
 0.274461 0.526099 2.82675 0.00470434 0.000851868 0.996444 0.0841225;
 0.268738 0.525596 2.81404 0.0184538 -0.0207046 0.996116 0.0835692;
 0.262595 0.523107 2.73474 0.0266371 -0.0480293 0.995035 0.083003;
 0.250923 0.516812 2.6294 0.0425132 -0.0691285 0.993211 0.0833378;
 0.230247 0.503694 2.53099 0.0183541 -0.0364596 0.995639 0.0838886;
 0.205393 0.487968 2.42765 -0.0102369 0.0164196 0.99626 0.0842097;
 0.188198 0.476181 2.32974 0.00540988 0.028396 0.996021 0.0843022;
 0.177221 0.464703 2.2203 0.0369552 -0.00107891 0.99574 0.0844738;
 0.166609 0.44768 2.11789 0.0491409 -0.030265 0.994772 0.0842503;
 0.148878 0.420733 2.0065 0.0477974 -0.0498491 0.994098 0.0836637;
 0.127099 0.390234 1.90236 0.0390707 -0.0522972 0.994409 0.0829997;
 0.0992639 0.35515 1.79191 0.0151403 -0.0178545 0.9963 0.0826924;
 0.0734823 0.321644 1.68021 -0.00908958 0.0335224 0.995986 0.0824971;
 0.0594789 0.296586 1.57731 -0.00879663 0.0585462 0.994887 0.0818226;
 0.0551394 0.274958 1.47447 0.0124093 0.0328203 0.996059 0.081462;
 0.0546161 0.250739 1.36214 0.0279894 -0.0171899 0.99617 0.0810339;
 0.0499745 0.225312 1.25905 0.0272987 -0.0477214 0.995258 0.0802372;
 0.0358671 0.19494 1.14795 0.0139205 -0.0397334 0.995954 0.0793926;
 0.0199247 0.16762 1.04538 -0.00984007 0.00249516 0.996838 0.0788069;
 0.00825866 0.14338 0.935712 -0.0268023 0.047369 0.995441 0.0783202;
 0.00638805 0.1279 0.834228 -0.0247141 0.0577988 0.994974 0.0779378;
 0.014143 0.117251 0.72478 -0.0103986 0.0275692 0.996512 0.0780692;
 0.0229572 0.109222 0.616718 -0.00212496 -0.0133202 0.996873 0.0778553;
 0.0254379 0.102298 0.519144 -0.0101305 -0.0269946 0.99659 0.0773055;
 0.0231081 0.0972149 0.428622 -0.0234392 -0.0105441 0.996751 0.0763387;
 0.0191791 0.0960063 0.337522 -0.0321833 0.0191935 0.996449 0.0753999;
]
