Posicoes do VANT [X Y Z qX qY qZ qW]

[
 5.85468e-321 0 6.90839e-310 -nan -nan -nan -nan;
 2.06305 2.14887 7.9897 -0.000713065 0.0139383 0.999903 -0.000106547;
 2.06305 2.14887 7.9897 -0.000713065 0.0139383 0.999903 -0.000106547;
 2.06273 2.15 7.98461 -0.00080696 0.0130545 0.999914 -0.000147556;
 2.05875 2.14794 7.92509 0.0013197 -0.0209498 0.99978 0.000172591;
 2.04625 2.14471 7.85018 0.105857 -0.134653 0.985136 0.0130402;
 1.59224 1.72298 7.54293 -0.0641407 0.0913789 0.992767 0.0441457;
 1.59224 1.72298 7.54293 -0.0641407 0.0913789 0.992767 0.0441457;
 1.58921 1.72048 7.53633 -0.00984583 0.0144881 0.998872 0.0441312;
 1.58315 1.71434 7.47271 0.0322635 -0.0723458 0.995872 0.0443156;
 1.5629 1.70345 7.3829 0.0574039 -0.0931358 0.992887 0.0469775;
 1.49046 1.64664 7.10005 0.0271969 0.0146373 0.998163 0.0521149;
 1.49046 1.64664 7.10005 0.0271969 0.0146373 0.998163 0.0521149;
 1.4793 1.62789 7.07729 0.0181416 -0.00636291 0.99841 0.0529881;
 1.46417 1.60452 7.02309 -0.00949426 -0.0468775 0.997466 0.0526728;
 1.15972 1.33077 6.71451 -0.10086 0.127101 0.984154 0.0715047;
 1.15972 1.33077 6.71451 -0.10086 0.127101 0.984154 0.0715047;
 1.15994 1.32971 6.71026 -0.047161 0.0656793 0.994158 0.071493;
 1.1594 1.33191 6.69662 -0.00440604 0.000201958 0.997473 0.0709026;
 1.15477 1.32959 6.62905 0.0377165 -0.0849373 0.993147 0.0708613;
 1.13404 1.32395 6.52966 0.0345337 -0.0938233 0.992329 0.0727117;
 1.00178 1.27197 6.20565 0.03758 -0.032838 0.995594 0.0793831;
 1.00178 1.27197 6.20565 0.03758 -0.032838 0.995594 0.0793831;
 0.960959 1.23856 6.22184 -0.0236556 0.0305432 0.996034 0.0801518;
 0.931391 1.22199 6.21533 -0.0647623 0.0837257 0.991126 0.0804036;
 0.906448 1.20731 6.15666 -0.0893608 0.0919458 0.988307 0.0825247;
 0.883976 1.20552 6.06865 -0.0407392 0.00155909 0.994969 0.0915089;
 0.857576 1.20212 5.96812 0.0696839 -0.0888361 0.988534 0.100265;
 0.816318 1.18616 5.87509 0.0930682 -0.0881816 0.986023 0.106396;
 0.697965 1.12468 5.57843 -0.0337669 0.0346413 0.99211 0.115661;
 0.697965 1.12468 5.57843 -0.0337669 0.0346413 0.99211 0.115661;
 0.700007 1.1409 5.59725 0.00920785 -0.00800729 0.993518 0.113022;
 0.695717 1.15478 5.58168 0.027003 -0.0275403 0.993105 0.110699;
 0.633202 1.13766 5.29966 -0.0270377 0.021409 0.993882 0.104929;
 0.633202 1.13766 5.29966 -0.0270377 0.021409 0.993882 0.104929;
 0.628165 1.13701 5.2861 -0.0197262 0.0167574 0.994345 0.102996;
 0.619211 1.13979 5.20298 0.00221401 -0.00639412 0.994785 0.101771;
 0.606553 1.13487 5.09022 0.0524038 -0.0384394 0.992716 0.101441;
 0.587209 1.12443 4.98882 0.0598607 -0.0443607 0.99213 0.100637;
 0.482663 1.01182 4.69617 0.00442995 0.00195435 0.995366 0.0960336;
 0.482663 1.01182 4.69617 0.00442995 0.00195435 0.995366 0.0960336;
 0.45993 0.987823 4.70712 -0.0444847 0.0370764 0.99373 0.0956379;
 0.436298 0.962657 4.65021 -0.0925113 0.0500247 0.989724 0.0968761;
 0.410557 0.949219 4.54845 -0.0582929 0.0152591 0.993034 0.101256;
 0.38769 0.940698 4.44844 0.042438 -0.0246807 0.993297 0.10465;
 0.359309 0.922302 4.35191 0.0797626 -0.0322615 0.990561 0.106702;
 0.28273 0.848805 4.05461 -0.0585544 0.0345108 0.991282 0.112871;
 0.28273 0.848805 4.05461 -0.0585544 0.0345108 0.991282 0.112871;
 0.27186 0.855276 4.04788 -0.0203217 0.0115972 0.99344 0.111932;
 0.260009 0.861621 3.99835 0.0206002 -0.038536 0.992797 0.111555;
 0.242017 0.858936 3.89453 0.0483863 -0.0505716 0.991244 0.11197;
 0.153332 0.753968 3.59683 -0.0431547 0.0124646 0.993294 0.106537;
 0.153332 0.753968 3.59683 -0.0431547 0.0124646 0.993294 0.106537;
 0.142581 0.74773 3.58328 -0.0294837 0.0128709 0.993958 0.104941;
 0.129448 0.742295 3.50612 0.000677027 -0.012185 0.994482 0.104191;
 0.115207 0.732084 3.40173 0.0489901 -0.0205995 0.993181 0.103769;
 0.0536671 0.627236 3.02559 -0.0062037 0.0115323 0.994894 0.100073;
 0.0536671 0.627236 3.02559 -0.0062037 0.0115323 0.994894 0.100073;
 0.0505529 0.611149 3.04186 -0.0214651 0.00555893 0.994846 0.09894;
 0.0421972 0.596776 2.97515 -0.0118387 0.00501919 0.995154 0.0974822;
 0.0344162 0.581547 2.86794 0.0255675 0.0238052 0.994901 0.0946155;
 0.0314514 0.564693 2.76675 0.0417821 0.034959 0.994229 0.0924116;
 0.0336463 0.539545 2.65932 0.0264143 0.0266178 0.995129 0.0911759;
 0.0376448 0.472721 2.35662 -0.00133211 0.00238532 0.996115 0.0880177;
 0.0376448 0.472721 2.35662 -0.00133211 0.00238532 0.996115 0.0880177;
 0.0357403 0.453464 2.35299 0.000316364 0.00426074 0.996194 0.0870566;
